TABNAME,LANGUAGE,TEXT
HR_T530T,E,Text: Reason for action 
HR_T533T,D,Text: Urlaubsart 
HR_T533T,E,Text: Leave type 
HR_T538T,D,Text: Zeit-/Masseinheit 
HR_T538T,E,Text: Time/ measurement unit 
HR_T542T,D,Text: Anstellungsverhaeltnis 
HR_T542T,E,Text: Employment contract 
HR_T547S,D,Text: Vertragsart 
HR_T547S,E,Text: Contract type 
HR_T548T,D,Text: Datumsart 
HR_T548T,E,Text: Date type 
HR_T549T,D,Text: Abrechnungskreis 
HR_T549T,E,Text: Payroll areas 
HR_T554T,D,Text: Ab-/Anwesenheit 
HR_T554T,E,Text: Absence type 
HR_T555Q,D,Text: PZeit Umbuchungsart 
HR_T555Q,E,Text: Balance rev. 
HR_T555V,D,Text: Mitarbeiterstatus 
HR_T555V,E,Text: Employee status 
HR_T556,D,Vertretungsarten 
HR_T556,E,Substitution type 
HR_T556B,D,Text: Abwesenheitskontingenttyp 
HR_T556B,E,Text: Absence quota type 
HR_T574B,D,Text: Qualifikationsbez. 
HR_T574B,E,Text: Qualification 
HR_T591S,D,Text: Info-Subtyp 
HR_T591S,E,Text: Subtype 
HR_T5C1B,D,Text: AHV-Schluessel 
HR_T5C1B,E,Text: AHV key 
HR_T5C1O,D,Kantone/Gemeinden 
HR_T5C1O,E,Cantons/ municipalities (CH) 
HR_T5C2G,D,Text: Quellensteuertarif 
HR_T5C2G,E,Text: Withholding tax scale 
HR_T5CA3,D,Text: VS-Wertart 
HR_T5CA3,E,Text: Value type (CH) 
HR_T5CAQ,D,Text: MA-Attributklassen 
HR_T5CAQ,E,Text: EE attribute classes 
HR_T5K13,D,Stellen 
HR_T5K13,E,Jobs 
HR_T5UBA,D,Arbeitg.Leistungsplan 
HR_T5UBA,E,Benefit plan 
HR_T5UC1,D,Text: ArbgLeistung Planart 
HR_T5UC1,E,Text: Benefit plan type 
HR_T5UC3,D,Text: Arbeitgeberleistungsbereich 
HR_T5UC3,E,Text: Benefit area 
HR_T5UC4,D,Text: AGLeist. ZulaessigkeitsGrp. 
HR_T5UC4,E,Text: Benefit eligibility grp 
HR_T5UC9,D,Text: AG-Leist. 2. PrgGrp 
HR_T5UC9,E,Text: Benefit 2. program grp. 
HR_T5UCT,D,Text: AG-Leist. 1. PrgGrp 
HR_T5UCT,E,Text: Benefit 1. program grouping 
HR_T5UCV,D,Text: AG-Leist. Zul.-Regelung 
HR_T5UCV,E,Text: Benefit eligibility rules 
HR_TOAHR,D,HR Dokumente 
HR_TOAHR,E,HR Documents 
IFLOALT,D,Kennzeichnungssysteme fÃ¼r Technische PlÃ¤tze
IFLOALT,E,Labeling Systems for Functional Locations
IFLOS,D,Kennzeichnungen Technischer PlÃ¤tze
IFLOS,E,Functional Location Labels
IFLOT,D,Technischer Platz (Tabelle)
IFLOT,E,Functional Location (Table)
IFLOTX,D,Technischer Platz: Kurztexte
IFLOTX,E,Functional Location: Short Texts
IHPA,D,Instandhaltung: Partner
IHPA,E,Plant Maintenance: Partners
IHSG,D,Objektbezogene Genehmigungen in der Instandhaltung
IHSG,E,Object-Related Permits in Plant Maintenance
IKPF,D,Belegkopf Inventurbeleg
IKPF,E,Header: Physical Inventory Document
ILOA,D,Standort und Kontierung zum IH-Objekt
ILOA,E,PM Object Location and Account Assignment
IMPR,E,Investment Program Positions
IMTP,E,Investment programs
INOB,D,Zuordnung einer internen Nummer zu einem bel. Objekt
INOB,E,Link between Internal Number and Object
ISEG,D,Positionen des Inventurbeleges
ISEG,E,Physical Inventory Document Items
JEST,D,Einzelstatus pro Objekt
JEST,E,Individual Object Status
JSTO,D,Informationen zum Statusobjekt
JSTO,E,Status object information
JVSO1,E,JV LI Table with Objects for JVTO1
JVTO1,E,JV Summary Table with Objects
JVTO2,E,JV Billing FI-SL Summary Table
KAKO,D,Kapazitaet Kopfsegment
KAKO,E,Capacity Header Segment
KAKT,D,Kapazitaet Bezeichnung
KAKT,E,Capacity Description
KAPA,D,KapazitÃ¤t Schichtwerte
KAPA,E,Shift Parameters for Available Capacity
KAPE,D,KapazitÃ¤t Basiseinheit Zuordnung
KAPE,E,Capacity unit of measure allocation
KAZY,D,KapazitÃ¤t Angebotsintervalle
KAZY,E,Interval of Available Capacity
KDST,D,Verbindung Kundenauftrag - StÃ¼ckliste
KDST,E,Sales Order to BOM Link
KEKO,D,Erzeugniskalkulation - Kopfinformationen
KEKO,E,Product Costing - Header Data
KLAH,D,Klassenkopf Daten
KLAH,E,Class Header Data
KLAT,D,Klassen: Langtexte
KLAT,E,Classes: Long Texts
KNA1,D,Kundenstamm (allgemeiner Teil)
KNA1,E,General Data in Customer Master
KNAS,D,Kundenstamm (allgemeiner Teil EG-Steuernummern)
KNAS,E,Customer master (VAT registration numbers general section)
KNB1,D,Kundenstamm (Buchungskreis)
KNB1,E,Customer Master (Company Code)
KNB5,D,Kundenstamm (Mahndaten)
KNB5,E,Customer master (dunning data)
KNBK,D,Kundenstamm (Bankverbindungen)
KNBK,E,Customer Master (Bank Details)
KNBW,D,Kundenstamm (Quellensteuertypen) X
KNBW,E,Customer master record (withholding tax types) X
KNC1,D,Kundenstamm Verkehrszahlen
KNC1,E,Customer master (transaction figures)
KNC3,D,Kundenstamm Verkehrszahlen SonderhauptbuchvorgÃ¤nge
KNC3,E,Customer master (special G/L transaction figures)
KNKA,D,Kundenstamm Kreditmanagement: Zentraldaten
KNKA,E,Customer master credit management: Central data
KNKK,D,Kundenstamm Kreditmanagement: Kontrollbereichsdaten
KNKK,E,Customer master credit management: Control area data
KNVI,D,Kundenstamm Steuerindikatoren
KNVI,E,Customer Master Tax Indicator
KNVP,D,Kundenstamm Partnerrollen
KNVP,E,Customer Master Partner Functions
KNVV,D,Kundenstamm Vertriebsdaten
KNVV,E,Customer Master Sales Data
KONA,D,Absprachen
KONA,E,Agreements
KONH,D,Konditionen (Kopf)
KONH,E,Conditions (Header)
KONM,D,Konditionen (Mengenstaffel 1-dimensional)
KONM,E,Conditions (1-Dimensional Quantity Scale)
KONP,D,Konditionen (Position)
KONP,E,Conditions (Item)
KONV,D,Konditionen (Vorgangsdaten)
KONV,E,Conditions (Transaction Data)
KONW,D,Konditionen (Wertstaffel 1-dimensional)
KONW,E,Conditions (1-Dimensional Value Scale)
KOTE001,D,Kunde/Material
KOTE001,E,Customer/Material
KSML,D,Merkmale zu  Klassen
KSML,E,Characteristics of a Class
KSSK,D,Zuordnungstabelle: Objekt zu Klasse
KSSK,E,Allocation Table: Object to Class
LAGP,D,LagerplÃ¤tze
LAGP,E,Storage bins
LFA1,D,Lieferantenstamm (allgemeiner Teil)
LFA1,E,Vendor Master (General Section)
LFAS,D,Lieferantenstamm (allgemeiner Teil EG-Steuernummern)
LFAS,E,Vendor master (VAT registration numbers general section)
LFB1,D,Lieferantenstamm (Buchungskreis)
LFB1,E,Vendor Master (Company Code)
LFB5,D,Lieferantenstamm (Mahndaten)
LFB5,E,Vendor master (dunning data)
LFBK,D,Lieferantenstamm (Bankverbindungen)
LFBK,E,Vendor Master (Bank Details)
LFBW,D,Lieferantenstamm (Quellensteuertypen) X
LFBW,E,Vendor master record (withholding tax types) X
LFC1,D,Lieferantenstamm Verkehrszahlen
LFC1,E,Vendor master (transaction figures)
LFC3,D,Lieferantenstamm Verkehrszahlen SonderhauptbuchvorgÃ¤nge
LFC3,E,Vendor master (special G/L transaction figures)
LFM1,D,Lieferantenstamm Einkaufsorganisationsdaten
LFM1,E,Vendor master record purchasing organization data
LFM2,D,Lieferantenstamm: Einkaufsdaten
LFM2,E,Vendor Master Record: Purchasing Data
LIKP,D,Vertriebsbeleg: Lieferung: Kopfdaten
LIKP,E,SD Document: Delivery Header Data
LINV,D,Inventurdaten pro Quant
LINV,E,Inventory data per quant
LIPS,D,Vertriebsbeleg: Lieferung: Positionsdaten
LIPS,E,SD document: Delivery: Item data
LQUA,D,Lagerquants
LQUA,E,Quants
LTAK,D,LVS Transportauftragskopf
LTAK,E,WM transfer order header
LTAP,D,Transportauftragsposition
LTAP,E,Transfer order item
MAKT,D,Materialkurztexte
MAKT,E,Material Descriptions
MAPL,D,Zuordnung von PlÃ¤nen zu Materialien
MAPL,E,Assignment of Task Lists to Materials
MARA,D,Allgemeine Materialdaten
MARA,E,General Material Data
MARC,D,Werksdaten zum Material
MARC,E,Plant Data for Material
MARD,D,Lagerortdaten zum Material
MARD,E,Storage Location Data for Material
MARM,D,Mengeneinheiten zum Material
MARM,E,Units of Measure for Material
MARV,D,Materialverwaltungssatz
MARV,E,Material Control Record
MAST,D,Verbindung Material - Stueckliste
MAST,E,Material to BOM Link
MBEW,D,Materialbewertung
MBEW,E,Material Valuation
MBEWH,D,Materialbewertung - Historie
MBEWH,E,Material Valuation: History
MCH1,D,Chargen (falls Chargenverwaltung werksÃ¼bergreifend)
MCH1,E,Batches (if Batch Management Cross-Plant)
MCHA,D,Chargen
MCHA,E,Batches
MCIPMIS,E,PMIS: Master data characteristics for PMIS before image
MHIO,E,Call Object from Maintenance Order
MHIS,E,Maintenance plan history
MHND,D,Mahndaten
MHND,E,Dunning Data
MHNK,D,Mahndaten (Kontoeintraege)
MHNK,E,Dunning data (account entries)
MKPF,D,Belegkopf Materialbeleg
MKPF,E,Header: Material Document
MLAN,D,Steuerklassifikation zum Material
MLAN,E,Tax Classification for Material
MLCR,D,Material-Ledger-Beleg: WÃ¤hrungen  und Werte
MLCR,E,Material Ledger Document: Currencies and Values
MLCRP,D,Material-Ledger-Beleg: PreisÃ¤nderung (WÃ¤hrungen  Preise)
MLCRP,E,Material Ledger Document: Price Changes (Currencies Prices)
MLIT,D,Material-Ledger-Beleg: Positionen
MLIT,E,Material Ledger Document: Items
MLPP,D,Material-Ledger-Beleg: Buchungsperioden und Mengen
MLPP,E,Material Ledger Document: Posting Periods and Quantities
MLST,D,Meilenstein
MLST,E,Milestone
MLTX,D,Meilensteinbezeichnung
MLTX,E,Milestone Description
MM0001,D,Materialsegment 
MM0001,E,Material segment 
MM0002,D,Lagerortdaten 
MM0002,E,storage location data 
MM0003,D,Materialbewertung Historie 
MM0003,E,Material valuation history 
MM0004,D,Einkaufsbestelltext 
MM0004,E,purchase order text 
MM0005,D,Steuerklassifikation zum Material 
MM0005,E,Tax classification for material 
MM0006,D,Konditionen: Arten: Texte 
MM0006,E,Cond. / types / texts 
MM0007,D,Materialbestell Text 
MM0007,E,Material PO Text 
MM0008,D,Item Text 
MM0008,E,Item Text 
MM0009,D,Einkaufsinfosatz 
MM0009,E,purchasing info record 
MM0010,D,Bestellentwicklung/ Historie zum Einkaufsbeleg 
MM0010,E,History of purchase order document 
MM0011,D,Text EK Bestellpos 
MM0011,E,Text purchase item 
MM0018,D,Materialbewegungen 
MM0018,E,Material movements 
MMPT,E,Cycle definitions and MeasPoints for MaintPlan
MM_0012,D,Rechnungen_zum Projekt 
MM_0012,E,Invoices for project 
MM_0013,D,Alte Rechnungen_zum Projekt 
MM_0013,E,old invoices for project 
MM_0014,D,Eingangsrechnung Quellensteuerdaten 
MM_0014,E,Incoming invoice / withholding tax data 
MM_0015,D,Text: Bewegungsarten MM 
MM_0015,E,Text: Movement types MM 
MM_0016,D,Einkaufsinfosatz nach EKORG 
MM_0016,E,purchasing info record 
MM_0017,D,Einkaufslieferantenliste 
MM_0017,E,List of vendors: Purchasing 
MM_BSEG_1,D,Belegsegment Buchhaltung 
MM_BSEG_1,E,document segment accounting 
MM_CK13N2,D,Positionen Einzelkalkulation [CK13N]
MM_CK13N2,E,Items unit costing [CK13N]
MM_CK13N_1,D,Einzelkalkulation (Steuerung + Summen) [CK13N]
MM_CK13N_1,E,Unit costing (management + total) [CK13N]
MM_CKM3,D,Materialkalkulation [CKM3/ CK13N/ CK86_99]
MM_CKM3,E,Material Calculation [CKM3 / CK13N / CK86_99]
MM_CKMPCD,D,Preisaenderungsbeleg anzeigen [CKMPCD]
MM_CKMPCD,E,Price Change Document [CKMPCD]
MM_CKMTOPPRICEDIF,D,Material mit hoechster V-Preis-Differenz [CKMTOPPRICEDIF]
MM_CKMTOPPRICEDIF,E,Material w. Largest Difference in MAP in Current or Previous Period [CKMTOPPRICEDIF]
MM_CKMTOPSTOCKVAL,D,Materialien mit hoechstem Bestandswert [CKMTOPSTOCKVAL]
MM_CKMTOPSTOCKVAL,E,Material with Highest Inventory Value [CKMTOPSTOCKVAL]
MM_CV03N,D,Dokumente Suchen [CV03N/CV04N]
MM_CV03N,E,Allocated documents [CV03N /CV04N]
MM_EINA,D,Einkaufsinfosatz 
MM_EINA,E,purchasing info record 
MM_EKET,D,Lieferplaneinteilungen 
MM_EKET,E,Purchasing schedule 
MM_EKKN,D,Bestellungen (EK)/ Kontierung 
MM_EKKN,E,Purchasing document / account assignment 
MM_J1A5,D,Lagerbestand anzeigen [J1A5]
MM_J1A5,E,Warehouse Stock display [J1A5]
MM_KONV_1,D,EK-Konditionen 
MM_KONV_1,E,Purchasing conditions 
MM_LI05,D,Inventurhistorie zum Lagerplatz [LI05/ LX36]
MM_LI05,E,Inventory History for Storage Bin [LI05 / LX36]
MM_LS26,D,Auswertung Quantinventur [LS26/_LI15]
MM_LS26,E,Evaluation of Quant Inventory [LS26 /_LI15]
MM_LT24,D,Transportauftrag [LT24]
MM_LT24,E,WM transfer order header [LT24]
MM_LTAP,D,Transportauftrag Positionen 
MM_LTAP,E,Transfer items 
MM_LX18,D,Statistik Inventurdifferenzen [LX18]
MM_LX18,E,Statistics for Inventory Differences [LX18]
MM_MB56,D,Chargenverwendungsnachweis anzeigen [MB56]
MM_MB56,E,Display changes batch list [MB56]
MM_MB59_ALL,D,Materialbeleg & Materialbewegungen [S_AL0_96000492/ MB59/ MB5B/ MB51]
MM_MB59_ALL,E,Material document & movements [S_AL0_96000492 / MB59 / MB5B / MB51]
MM_MB59_POS,D,Materialbeleg & Materialbewegungen S_AL0_96000492/ MB59/ MB5B/ MB51
MM_MB59_POS,E,Material document & movements S_AL0_96000492 / MB59 / MB5B / MB51
MM_MB5S,D,WE/RE Saldenliste [MB5S]
MM_MB5S,E,GR/IR Balances [MB5S]
MM_MB5W,D,Bestandswertliste [MB5W/ MB5L/ MRN9]
MM_MB5W,E,List of Stock Values: Balances [MB5W / MB5L / MRN9]
MM_MBBS_1,D,Bewerteten Sonderbestand anzeigen [MBBS]
MM_MBBS_1,E,Valuated Sales Order and Project Stock [MBBS]
MM_MBBS_2,D,Bewerteten Lohnbearbeiterbestand anzeigen [MBBS]
MM_MBBS_2,E,Valuated Sales Order Stock [MBBS]
MM_MBBS_3,D,Bewerteten Projektbestand anzeigen [MBBS]
MM_MBBS_3,E,Valuated Project Stock [MBBS]
MM_MBEW,D,Materialbewertung 
MM_MBEW,E,material valuation 
MM_MBGR_1,D,MatBeleg zum Grund der Bewegung [MBGR]
MM_MBGR_1,E,Material Documts with Reason f. Mvt [MBGR]
MM_MBGR_2,D,MatBeleg zum Grund der Bewegung Originalbestellung [MBGR]
MM_MBGR_2,E,Material Documts with Reason f. Mvt. original order [MBGR]
MM_MC$4_1,D,Einkauf/ Umsatz nach Lieferant/ Warengruppen- und Materialanalyse [MC$4/ MC$G/ MCE3/ MCE5/ MCE7]
MM_MC$4_1,E,Purchasing [MC$4 / MC$G / MCE3 / MCE5 / MCE7]
MM_ME0M,D,Orderbuch anzeigen [ME0M/ ME03]
MM_ME0M,E,Source List display [ME0M / ME03]
MM_ME13,D,Material/ Lieferant Einkaufsinfosatz [ME13/ ME1L/ ME1M/ ME1W/ ME1A]
MM_ME13,E,Material/ vendor / purchasing info record [ME13 / ME1L / ME1M / ME1W / ME1A]
MM_ME13_1,D,Einkaufsinfosatz [ME13]
MM_ME13_1,E,purchasing info record [ME13]
MM_ME14,D,Infosatz Aenderungen [ME14]
MM_ME14,E,Purchasing Info Record Changes [ME14]
MM_ME1P,D,Bestellpreisentwicklung [ME1P]
MM_ME1P,E,Purchase Order Price History [ME1P]
MM_ME23N2,D,Einkaufsbestellungen Positionen 
MM_ME23N2,E,Purchase order items 
MM_ME23N_ALL,D,Einkaufsbestellungen [ME23N/ME2C/ME2L/ME2M/ME2N/ME3M/ME80F/ ME82]
MM_ME23N_ALL,E,Purchase orders [ME23N /ME2C /ME2L /ME2M /ME2N /ME3M /ME80F / ME82]
MM_ME2B,D,Transportauftrag [ME2B]
MM_ME2B,E,Transport order [ME2B]
MM_ME2C,D,Bestellungen zur Warengruppe/Lieferwerk [ME2C/ ME2W]
MM_ME2C,E,Purchansing Documents for Material Group [ME2C / ME2W]
MM_ME2J,D,Einkaufsbelege zum Projekt [ME2J]
MM_ME2J,E,Purchasing documents for project [ME2J]
MM_ME2K,D,Einkaufsbeleg zur Kontierung [ME2K]
MM_ME2K,E,Purchasing document for account assignment [ME2K]
MM_ME33K,D,Kontrakte anzeigen [ME33K]
MM_ME33K,E,Display contracts [ME33K]
MM_ME33K_ALL,D,Kontrakt anzeigen [ME33K]
MM_ME33K_ALL,E,Display Contract [ME33K]
MM_ME33K_POS,D,Vertragspositionen [ME33K]
MM_ME33K_POS,E,Contractposition [ME33K]
MM_ME33L,D,Lieferplan anzeigen [ME33L/ ME38]
MM_ME33L,E,Scheduling Agreement Delivery Schedule [ME33L / ME38]
MM_ME3C,D,Rahmenvertraege zu Warengruppe/Kontierung/Lieferant/Material [ME3C/ ME3K/ ME3L/ ME3M]
MM_ME3C,E,Purchasing Contracts to Material Group/ Vendor [ME3C / ME3K / ME3L / ME3M]
MM_ME43,D,Anfragen [ME43]
MM_ME43,E,Requests [ME43]
MM_ME48,D,Angebote [ME48]
MM_ME48,E,Offers [ME48]
MM_ME53N_1,D,Bestellanforderung [ME53N/ME5A/ME5K]
MM_ME53N_1,E,Purchase requisition [ME53N /ME5A /ME5K]
MM_ME53N_2,D,Texte [ME53N]
MM_ME53N_2,E,Texts [ME53N]
MM_ME53N_4,D,Bestellanforderung Kontierung [ME53N/ME5A/ME5K]
MM_ME53N_4,E,Purchase requisition account assignment [ME53N /ME5A /ME5K]
MM_ME5J,D,Bestellanforderung zum Projekt [ME5J]
MM_ME5J,E,Purchase requisition for the project [ME5J]
MM_MI12,D,Inventur Aenderungsbelege [MI12]
MM_MI12,E,Inventory Documents Changes [MI12]
MM_MI24_1,D,Inventurliste [MI24/ MI22/ MIDO/ MI20]
MM_MI24_1,E,Inventory list [MI24 / MI22 / MIDO / MI20]
MM_MI24_2,D,Inventur Bestandesart [MI24]
MM_MI24_2,E,Inventory typ [MI24]
MM_MI24_3,D,Inventurstatus [MI24]
MM_MI24_3,E,Inventory state [MI24]
MM_MIR4_ALL,D,Rechnungen (Kopf) [MRA3/ MIR6/ S_AL0_96000496/ MIR4]
MM_MIR4_ALL,E,Invoices (purchasing) [MRA3 / MIR6 / S_AL0_96000496 / MIR4]
MM_MIR4_POS,D,Belegposition Kontierung 
MM_MIR4_POS,E,Document item account assignment 
MM_MKVZ,D,Lieferant Listenanzeige [MKVZ ]
MM_MKVZ,E,Vendor list [MKVZ ]
MM_MM03_1,D,Materialstamm [MM03/ MM06/ MM60/ MM19]
MM_MM03_1,E,Material master [MM03 / MM06 / MM60 / MM19]
MM_MM03_12,D,Material basic data text 
MM_MM03_12,E,Material basic data text 
MM_MMBE,D,Material Lagerortdaten/ Inventurdaten/ Bestandesuebersicht [MMBE/ MI23/ MB52/ J1A5]
MM_MMBE,E,Material storage location data [MMBE / MI23 / MB52 / J1A5]
MM_MMBE_1,D,Bestandesuebersicht/ Werkanalyse/ Lagerbestand [MMBE/ MI23/ MB52/ MC.1]
MM_MMBE_1,E,Material storage location data [MMBE / MI23 / MB52 / MC.1]
MM_MR11SHOW,D,Anzeige/Storno Kontenpflegebeleg [MR11SHOW]
MM_MR11SHOW,E,Display/Cancel Account Maintenance Document [MR11SHOW]
MM_MR33,D,Layer anzeigen [MR33]
MM_MR33,E,Layer display [MR33]
MM_MR35,D,Bewertungsdaten anzeigen [MR35]
MM_MR35,E,FIFO Results display [MR35]
MM_MR39_1,D,Bestellungen Aenderungen [MR39]
MM_MR39_1,E,Purchase order change history [MR39]
MM_MR39_2,D,Layer Belegaenderungen [MR39]
MM_MR39_2,E,Layer Change History [MR39]
MM_MR51,D,Buchaltungsbeleg zum Material [MR51]
MM_MR51,E,Material / posting document item [MR51]
MM_MRL7,D,Gruppenbildung anzeigen [MRL7]
MM_MRL7,E,Display Pool Formation [MRL7]
MM_MVKE,D,Verkaufsdaten 
MM_MVKE,E,Sales data
MM_NAST,D,Nachrichtenstatus
MM_NAST,E,Message Status
MM_RBKP_BLOCKED,D,Rg pruef: Gesperrte Rechnungen 
MM_RBKP_BLOCKED,E,Inv. verif.: Blocked invoices 
MM_RBMA,D,Belegposition Material 
MM_RBMA,E,Document item: Incoming invoice for material 
MM_RBTX,D,Steuern Eingangsrechnung 
MM_RBTX,E,Taxes: Incoming invoice 
MM_RBWS,D,Quellensteuer Eingangsrechnung 
MM_RBWS,E,withholding taxes incoming invoice 
MM_RBWT,D,Quellensteuer Eingangsrechnung 
MM_RBWT,E,Withholding Tax Data / Incoming Invoice 
MM_STXL_4,D,Text EK Bestellung 
MM_STXL_4,E,Text purchase order 
MM_S_AL0_96000496,D,Rechnung (Positionen) / Logistische Rechnungspruefung [S_AL0_96000496]
MM_S_AL0_96000496,E,Incoming invoice (item) [S_AL0_96000496]
MM_T024,D,Text: Einkaufsgruppen 
MM_T024,E,Purchasing groups 
MM_T141T,D,Text: Material Status 
MM_T141T,E,Text: Material status 
MM_T149T,D,Text: Bewertungstyp 
MM_T149T,E,Text: Valuation category 
MM_T161T,D,Text: Einkaufsbelegart 
MM_T161T,E,Text: Purchasing document types 
MM_T163C,D,Text: Bestellentwicklungstypen 
MM_T163C,E,Text: PO history category 
MM_T163I,D,Text: Kontierungstypen 
MM_T163I,E,Text: Acc. assignment categories 
MM_TPTMT,D,Text: PosTypenGruppe 
MM_TPTMT,E,Text: Item cat. group 
MM_TSKMT,D,Steuern: Materialien: Texte 
MM_TSKMT,E,Tax classification texts 
MM_UOM,D,MaÃŸeinheit des Materials
MM_UOM,E,Unit of Measure of Material
MPLA,E,Maintenance plan
MPOS,E,Maintenance item
MSEG,D,Belegsegment Material
MSEG,E,Document Segment: Material
MVKE,D,Verkaufsdaten zum Material
MVKE,E,Sales Data for Material
MYMFT,D,FIFO Ergebnistabelle
MYMFT,E,FIFO Results Table
MYML,D,LIFO Materiallayer (jÃ¤hrlich)
MYML,E,LIFO Material Layer (Annual)
MYMP,D,LIFO PeriodenbestÃ¤nde Einzelmaterial
MYMP,E,LIFO Period Stocks Individual Material
MYMS,D,LIFO-relevante Materialien
MYMS,E,LIFO-relevant materials
MYPL,D,LIFO Poollayer (jÃ¤hrlich)
MYPL,E,LIFO Pool Layer (Annual)
NAST,D,Nachrichtenstatus
NAST,E,Message Status
NRIV,D,Nummernkreisintervalle
NRIV,E,Number Range Intervals
OBEW,D,Bewerteter Lohnbearbeitungsbestand
OBEW,E,Valuated Stock with Subcontractor
OBJH,D,Objekt: Header
OBJH,E,Object: Header
OBJK,E,Plant Maintenance Object List
OBJS,D,Objekt: StÃ¼ckliste der Objekte
OBJS,E,Object: Object List
ONRFS,D,Objektnummernindex Finanzstelle
ONRFS,E,Object number index for commitment funds center
ONRKL,D,Objektnummernindex Kostenstelle/Leistungsart
ONRKL,E,Object Number Index Cost Center/Activity Type
ONRKS,D,Objektnummernindex Kostenstelle
ONRKS,E,Object Number Index Cost Center
PA0000,D,Personal-Stammsatz Infotyp 0000 (Massnahmen)
PA0000,E,HR Master Record: Infotype 0000 (Actions)
PA0001,D,Personal-Stammsatz Infotyp 0001 (Org. Zuordnung)
PA0001,E,HR Master Record: Infotype 0001 (Org. Assignment)
PA0002,D,Personal-Stammsatz Infotyp 0002 (Daten zur Person)
PA0002,E,HR Master Record: Infotype 0002 (Personal Data)
PA0003,D,Personal-Stammsatz Infotyp 0003 (Abrechnungsstatus)
PA0003,E,HR Master Record: Infotype 0003 (Payroll Status)
PA0005,D,Personal-Stammsatz Infotyp 0005 (Urlaubsanspruch)
PA0005,E,HR Master Record: Infotype 0005 (Leave Entitlement)
PA0006,D,Personal-Stammsatz Infotyp 0006 (Anschriften)
PA0006,E,HR Master Record: Infotype 0006 (Addresses)
PA0007,D,Personal-Stammsatz Infotyp 0007 (Arbeitszeit)
PA0007,E,HR Master Record: Infotype 0007 (Planned Working Time)
PA0008,D,Personal-Stammsatz Infotyp 0008 (Basisbezuege)
PA0008,E,HR Master Record: Infotype 0008 (Basic Pay)
PA0009,D,Personal-Stammsatz Infotyp 0009 (Bankverbindung)
PA0009,E,HR Master Record: Infotype 0009 (Bank Details)
PA0011,D,Personal-Stammsatz Infotyp 0011 (Ext. Ãœberweisungen)
PA0011,E,HR Master Record: Infotype 0011 (Ext.Bank Transfers)
PA0012,D,Personal-Stammsatz Infotyp 0012 (Steuerrechtl. Daten (D))
PA0012,E,HR Master Record: Infotype 0012 (Fiscal Data - Germany)
PA0014,D,Personal-Stammsatz Infotyp 0014 (Wiederk. Be- u. AbzÃ¼ge)
PA0014,E,HR Master Record: Infotype 0014 (Recur. Payments/Deds.)
PA0015,D,Personal-Stammsatz Infotyp 0015 (ErgÃ¤nzende Zahlung)
PA0015,E,HR Master Record: Infotype 0015 (Additional Payments)
PA0016,D,Personal-Stammsatz Infotyp 0016 (Vertragsbestandteile)
PA0016,E,HR Master Record: Infotype 0016 (Contract Elements)
PA0017,D,Personal-Stammsatz Infotyp 0017 (Reiseprivilegien)
PA0017,E,HR master record: Infotype 0017 (Travel Privileges)
PA0019,D,Personal-Stammsatz Infotyp 0019 (Termine)
PA0019,E,HR Master Record: Infotype 0019 (Monitoring of Dates)
PA0021,D,Personal-Stammsatz Infotyp 0021 (Familie)
PA0021,E,HR Master Record: Infotype 0021 (Family)
PA0022,D,Personal-Stammsatz Infotyp 0022 (Ausbildung)
PA0022,E,HR Master Record: Infotype 0022 (Education)
PA0023,D,Personal Stammsatz Infotyp 0023(Taetigkeiten bei anderen AG)
PA0023,E,HR Master Record: Infotype 0023 (Other/Previous Employers)
PA0024,D,Personal-Stammsatz Infotyp 0024 (Qualifikationen)
PA0024,E,HR Master Record: Infotype 0024 (Qualifications)
PA0031,D,Personal-Stammsatz Infotyp 0031 (Referenzpersonalnummern)
PA0031,E,HR Master Record: Infotype 0031 (Reference Pers.Nos.)
PA0032,D,Personal-Stammsatz Infotyp 0032 (Betriebsint.Vereinb.)
PA0032,E,HR Master Record: Infotype 0032 (Internal Data)
PA0034,D,Personal-Stammdaten Infotyp 0034 (betriebliche Funktionen)
PA0034,E,HR Master Record: Infotype 0034 (Corporate Functions)
PA0035,D,Personal-Stammdaten Infotyp 0035 (Belehrungen)
PA0035,E,HR Master Record: Infotype 0035 (Comp.Instr.)
PA0036,D,Personal-Stammsatz Infotyp 0036 (Sozialversicherung CH)
PA0036,E,HR Master Record: Infotype 0036 (Social Insurance CH)
PA0037,D,Personal-Stammsatz Infotyp 0037 (Versicherung)
PA0037,E,HR Master Record: Infotype 0037 (Insurance)
PA0038,D,Personal-Stammsatz Infotyp 0038 (Steuer CH)
PA0038,E,HR Master Record: Infotype 0038 (Fiscal Data CH)
PA0040,D,Personal Stammsatz Infotyp 0040 (Leihgaben)
PA0040,E,HR Master Record: Infotype 0040 (Objects on Loan)
PA0041,D,Personal-Stammsatz Infotyp 0041 (Datumsangaben)
PA0041,E,HR Master Record: Infotype 0041 (Date Specifications)
PA0045,D,Personal-Stammsatz Infotyp 0045 (Darlehen)
PA0045,E,HR Master Record: Infotype 0045 (Company Loans)
PA0050,D,Personal Stammsatz Infotyp 0050(Zeiterfassung)
PA0050,E,HR Master Record: Infotype 0050 (Time Recording)
PA0077,D,Personal-Stammsatz Infotyp 0077 (Weitere Daten zur Person)
